id,name,price,type,rating,rating_number,location,website,contact_number,opening_hours,about,image_source,created_at,updated_at,doc
28,Bangalore Express City,£25 and under,Indian,4.3,590,Fenchurch Street,http://www.bangaloreuk.com/,020 7220 9195,Mon–Sat 11:00–23:00 Sun 12:00–22:00,Tucked away in the heart of the city,https://images.otstatic.com/prod/25872253/1/medium.jpg,2022-01-26 16:46:12.10934+00,2022-01-26 16:46:12.10934+00,"Home-cooked, wholesome French food and delicious French wine in the heart of The City is what we are famous for at Threadneedle Street. We have a stunning, high ceiling dining room with dramatic globe lighting, our sought-after mezzanine floor and a cosy bustling bar as well as an open kitchen adding a little theatre. All food is prepared from scratch by our skilled chefs, using the best possible ingredients, so you can order with confidence from our seasonal à la carte menu and our ever changing specials boards*. For meetings or special events, our mezzanine level with booth seating is perfect, and can be booked for exclusive use.The staff were very kind in taking into account the seating arrangements .. food was good other than one dish. Upstairs has a good feel to it too.  Unfortunately the meat my guest and I ordered (very different types of meat) were both not very good. Very tough. Nice taste but basically impossible to eat. We only paid for one of them after questioning. Service was lovely.   Very nice lunch but asked to move tables when I arrived as the table was next to the open kitchen - sounds appealing, but was extremely noisy and not suitable for a business lunch. Fortunately I was offered another table as the restaurant was only moderately busy. I would go again. Would be nice to have more lighter items on the menu, particularly for starters.    Couldn’t have asked for a better waitress, so friendly and attentive. Food was ok  Perfect casual and elegant setting for dinner. We enjoyed delicious recipes with a twist.  "
29,Golden Fleece,£25 and under,British,4.6,44,Bank,http://www.goldenfleececity.com/,020 7236 1433,Mon–Wed 12:00–22:00 Thu, Fri 12:00–23:00,https://images.otstatic.com/prod/26169979/2/medium.jpg,2022-01-26 16:46:12.112272+00,2022-01-26 16:46:12.112272+00,"Tucked away in the heart of the city, we offer fast and friendly service with a twist on the ‘traditional Indian’. In a rush? Try our take away lunch service. If you have a booking for a large group we have a large downstairs dinning room that can accommodate most group sizes.idli Sambar was nice.. the masala tea w Parle G added the nostalgic touch!        authentic, tasty starter and main meal.      Great food.      Foo d was great, quick and taste.     The food is decent but definitely not worth the price. The service was not too good but that was mainly because they are understaffed at the moment. Overall poor ambience and at the price point you d get much better and authentic indian food at multiple other resturants such as dishoom. A big shout out to the guy who was handling everything from orders to bills to cleaning the place to welcoming guests. I dont know your name but you are awesome and were one of the highlights of the evening"
30,Gaucho Smithfield,£41 and over,Steak,4.5,1201,Barbican,http://www.gauchorestaurants.co.uk/,020 7490 1676,Mon–Fri, Sun 12:00–22:00 Sat 18:00–22:00,https://images.otstatic.com/prod/26085722/1/medium.jpg,2022-01-26 16:46:12.115845+00,2022-01-26 16:46:12.115845+00,"For all bookings in December please call the venue direct on: 0207 236 1433   We serve fresh seasonal food using locally sourced ingredients, 5 regular changing cask conditioned real ales, a selection of draught & bottled craft beers from London brewers & wines from a carefully chosen innovative range of differing wine suppliers. We provide friendly knowledgeable & relaxed service in a buzzy city venue.Fantastic city pub with charming staff. Certainly recommend worth visiting!       Friendly helpful staff. Food arrived very promptly      Charming pub in the center of the City. The services were good.      Very good service from the staff in the pub during the evening.Food and drink very good.      The staff were super lovely. The drinks selection was excellent. We had a great time. "
31,Cinnamon Kitchen,£26 to £40,Indian,4.2,2636,Liverpool Street,http://www.cinnamon-kitchen.com/,020 7626 5000,Tue–Sat 12:00–23:00 Sun 12:00–22:00,Located in the striking Devonshire Square development,https://images.otstatic.com/prod1/47090119/3/medium.jpg,2022-01-26 16:46:12.119425+00,2022-01-26 16:46:12.119425+00,"Gaucho Set Lunch Menu: 12–3PM | Two Courses - £24.50 | Three Courses - £27.50 | Monday- Friday  Situated in London’s historic meat market - Smithfield - near art-centric Clerkenwell and just a stone’s throw from the Barbican, we’ve found the perfect home for our contemporary Argentinian steakhouse restaurant and bar.  Gaucho Smithfield draws inspiration from the market with our interiors and menu celebrating the extraordinary origins of our products and provenance. There is no better place to enjoy one of our phenomenal ‘wet-aged’ steaks and a glass of premium Argentinian red wine than whilst watching the bustle of the market from our dining room.  We’ve also got an impressive private dining room for you to meet, host or celebrate within.  Please note: we currently do not accept OpenTable dining cheques.Very knowledgable staff made the experience even better.     First class experience.  Great service, very attentive.  Amazing steak, great wine and cocktails. Slightest issue was the food arrived a few minutes after the cocktails.                    Fantastic Xmas menu and games, food was lovely and great feedback from all our party.       Everything lovely but wine very expensive.              Gabriel García Márquez wrote, “Cien años de soledad” - well, had he popped into Gaucho Smithfield to be hosted by Pilar he would probably have written “ Cien años de fiesta” !  Superb friendly service - thank you as always to Pilar - great food and wine and beer and surrounded by people having fun - another excellent night - I look forward to the next !!  "
32,Lasagneria Italiana,£25 and under,Italian,4.4,12,Bank,http://misterlasagna.co.uk/,020 7929 1212,Mon–Sat 09:00–00:00,Lasagneria Italiana serves authentic Italian ‘fast food’ and is open for breakfast,https://images.otstatic.com/prod1/41871364/2/medium.jpg,2022-01-26 16:46:12.123146+00,2022-01-26 16:46:12.123146+00,"Located in the striking Devonshire Square development, a short walk from Liverpool Street Station, Cinnamon Kitchen serves innovative, modern Indian cuisine inspired by the same ethos as its Westminster counterpart but in a more relaxed and informal setting. Open lunch and dinner, Cinnamon Kitchen is a genuinely unique all day dining option.First time I'd been and brought clients, they were very impressed and loved the food. Also helpful as one was a vegan and one was a vegetarian, so menu was very suitable for them!     Good food, noisy atmosphere, service was slow but didn't bother us too much     Not as good as I’d hoped. Definitely good quality food and generous portions, but the mains were not as special as the starters. Naan was burnt. Dessert disappointing.  Atmosphere impersonal.   I’d go again if in the area though   Overall, a nice experience. Myself and my partner had a 4 course vegan menu for £30. All of the food was tasty, although not for those who can't tolerate a lot of spice. We did wait quite a while to have our orders taken and for our first course to come but was efficient after that. Our starter course of samosas were both stone cold in the middle, although they apologised and rectified this quickly.     The food was delicious, the staff very tentative and the ambiance just right! "
33,ALTER,£26 to £40,Vegan,4.8,194,Aldgate,https://www.alterldn.com/,07912 194965,Lunch Thu, Fri 12:00–14:00 Dinner Tue–Sat 17:00–22:00,https://images.otstatic.com/prod1/32356629/2/medium.jpg,2022-01-26 16:46:12.126791+00,2022-01-26 16:46:12.126791+00,"Lasagneria Italiana serves authentic Italian ‘fast food’ and is open for breakfast, lunch and dinner, Monday – Sunday. We offer 21 lasagna varieties with eight staple dishes of classic bolognese, ham & cheese, mushroom, pesto, carbonara, vegetable, four cheese and Napoletana (meatballs, egg, bolognese, ricotta and béchamel). They are available daily and joined by two specials, a rotation of 13 dishes; truffle, pumpkin, smoked salmon, chicken & chorizo, artichoke, courgette & cheese, vegetable, aubergine, cherry tomato & basil, mashed potato & egg, spinach, onion, spicy tomato sauce and tuna capers & olives. Diners are also able to choose from five complementary sauces which are to be served on top of the lasagna; bolognese, béchamel, mushroom, four cheese or tomato.Great restaurant, food was delicious but unfortunately not particularly hot.    Amazing food with very good staff that are kind and friendly, the food tasted absolutely delicious and was very good pricing too. The restaurant is very beautiful and quite cosy. Overall an amazing experience, will go here more often    Great choices, goods food, good service. Perfect for lunch      Great choice of menu, waiting staff very helpful and accommodating, would definitely return     Really nice place with good food and reasonable prices. Genovese lassagna was delicious.     Quick service, nice atmosphere, friendly servers, beautiful area, brilliant food      "
34,Gordon Ramsay Street Burger — St Paul’s,£25 and under,Burgers,4.0,35,Bank,https://www.gordonramsayrestaurants.com/street-burger/st-pauls/,020 7592 1217,Tue, Wed 11:30–22:00 Thu–Sat 11:30–23:00,https://images.otstatic.com/prod1/32453539/3/medium.jpg,2022-01-26 16:46:12.130323+00,2022-01-26 16:46:12.130323+00,"Founded by Andy Hogben (ex Dabbous, Som Saa & Andrew Wong), alter exists to challenge the common perceptions of vegan food by drawing inspiration from global street food cultures rather than working with meat and dairy substitutes.  Despite offering a solely vegan menu, alter is not just for vegans, it’s for everyone, an inclusive eating and drinking space that transports guests with upbeat dishes that focus on what is gained, not lost by being part of this global movement.  Andy says: ‘I couldn’t be more excited to bring Alter to East London. This is the big one. It’s the fullest realisation yet of the Alter I saw in my head when I first started. A place where everyone can have everything on the menu, vegan or not. It’s never been about preaching to people. I just want everyone to feel excited to discover new things in a setting that feels part Thai backstreet noodle joint, part inner city Tokyo dive bar.’Dishes full of flavour and texture, and team very helpful on the dishes we were unfamiliar with, giving great recommendations.       When looking at the menu, I wasn't sure what to expect from the food; I didn't know what most of the food would look like, let alone taste like. ALTER absolutely blew me away with every single dish we had. The taste were incredible. The portion sizes were perfect. The service was excellent. Completely blown away and will highly recommend to friends.        OUTSTANDING. Everyone needs to come here whether you’re vegan or not. Both my brother and I are flexitarian (though I mainly eat vegan meals) and were blown away by the flavours. The pizza ajo blanco was particularly exceptional and so clever. The flavours burst in your mouth! We also really enjoyed the laksa. The only slightly negative comment I have is that the tofu dish is described as having a ‘sauce’. I think this is somewhat misleading. Imagine chunks of tofu swimming in a warmly spiced flavoursome watery broth and that’s what this dish is. Definitely not what we expected but still nice. We even mixed the tofu with the laksa towards the end which turned out to be a delicious combo. The mango sticky rice dessert is sensational. That and the pizza were definitely the two dishes that were most unique in terms of flavour. My brother and I intend to come back and will be raving about it to anyone and everyone!                  Fantastic all vegan food & cocktails. Full of delicious flavour combinations and lovely to know everything on the menu is safe for vegans to eat. So good I got a takeaway for next day too!           Great food and drinks for non-vegans as well. Would recommend "
35,Jamies Adam's Court,£25 and under,British,3.5,3,Liverpool Street,https://www.jamies-adamscourt.co.uk/,020 7628 0808 ,Mon–Fri 11:00–23:00 ,Adams Court is nestled in a bustling courtyard just yards from Bank Station. Take in the city scapes from our gorgeous terrace and enjoy a tipple or two at the bar.,https://images.otstatic.com/prod1/31040541/1/medium.jpg,2022-01-26 16:46:12.134083+00,2022-01-26 16:46:12.134083+00,"Gordon Ramsay's brand new Street Burger restaurant is now open in St Paul's, London. Enjoy signature burgers, fries and unlimited soft drinks for £16.Food was lovely, the burger I had was amazing, Onion rings really nice, just missing Chicken wings as a starter.Drinks where a little expensive, even for London Prices .  Our waitress was amazing, Will definitely be back.             Food average. Drinks: no particular choice. Overall a bit rubbish.               The decor is nice, the staff are attentive and nice, however the food was a let down. We got 4 kind of sauces with our burgers which was nice, however the patties in both burgers were really dry and tough.       The burger was average at best and overcooked. They skimped on the fries and provided about a teaspoon of ketchup. The shot glass provided for “unlimited refills” for almost 4 pounds was a joke. So, other than the swift service it was underwhelming and a poor representation for a top chef. McDonald’s would have been a better choice.              Very good burgers and quick service which was what we needed "
36,Number 25,£25 and under,Wine Bar,4.0,1,Bank,https://www.jamies.london/bars/number-25/,020 7623 2505 ,Mon–Fri 11:00–15:00 Mon–Fri 17:00–23:00,A City staple for after work drinks and British style dining,https://images.otstatic.com/prod1/43671381/3/medium.jpg,2022-01-26 16:46:12.137525+00,2022-01-26 16:46:12.137525+00,"Adams Court is nestled in a bustling courtyard just yards from Bank Station. Take in the city scapes from our gorgeous terrace and enjoy a tipple or two at the bar.Our booking was completely messed up and even though several emails weren't sent direct to the restaurant it was a shambles. The only food option was sandwiches!! Hence we left and had a lovely meal elsewhere.    The only thing good about our meal was the pudding! I am especially disappointed as I was taking 2 friends out as a belated anniversary meal. We arrived a little later than our 7pm slot as the place was so difficult to find. We thought we had actually walked into a club the music was so loud - could hardly hear yourself think and none of us are exactly oldies!! It's not clearly indicated where the restaurant is so spent another 5 mins wandering around the ground and lower floor looking for it then asked someone behind the bar, really loudly ....twice (due to the volume of the music!) we were grunted at and they pointed to a lift. We went upstairs and oh my god the music was even louder!! We were shown to the table and given the menu and told that they had run out of the Steak and Beef Rib options which left Vegetarian , Chicken Schnitzel or Hake - none of which we particularly liked! How on earth can a restaurant run out of these dishes by 7pm in the evening is beyond me. Considering tables are pre-booked, one would think they would have some idea and order their stock accordingly! We ordered the Hake which was ok but the samphire that accompanied it was awful...full of stalks and chewy, in other words, cheap and nasty which just about summed up this place. Would never go there again and would never recommend. I even spoke to the manager and complained and was met with complete indifference - not bothered in the slightest! No wonder they are putting on these deals so cheaply, as the saying goes, if it seems to good to be true then it probably is! Avoid, avoid, avoid!            My boyfriend and I enjoyed a wonderful meal here together for Valentine’s Day. Amazing food on the set menu, a great variety also impeccably presented. Service could not of been better, thank you Anker! Will definitely visit again great value and lovely setting for dinner. "
37,Slug & Lettuce - St Pauls,£25 and under,British,4.0,4,St Paul's,http://www.slugandlettuce.co.uk/st-pauls-london,020 7600 3500 ,Mon–Thu 10:00–23:00 Fri, Sat 10:00–00:00 Sun 12:00–23:00 Lunch Mon–Sat 10:00–16:45 Dinner Mon–Sat 17:00–21:00,https://images.otstatic.com/prod1/46814816/3/medium.jpg,2022-01-26 16:46:12.141226+00,2022-01-26 16:46:12.141226+00,"A City staple for after work drinks and British style dining, Number 25 is a top destination for drinks in the heart of London; Whether that's a delicious bottle of wine, or the lapping up of a cold pint.  Relaxed and informal, you can always be sure of a friendly welcome and warm atmosphere at Number 25. Featuring a large and comprehensive range of quality wines with over 20 available by the glass we are very proud of our worldwide list. A range of premium spirits and bottled beers are also available, making up the final ingredients of this popular City wine bar. Food is simple and classic - serving a delicious selection of sandwiches and mains, as well as sharing platters and small plates, it's the perfect stop for a business lunch or some nibbles in the evening.Excellent place for a quiet meeting or lunch with a friendly atmosphere.  "
38,Madison,£26 to £40,Modern European,4.0,871,St Paul's,http://www.madisonlondon.net/,020 3693 5160 ,Daily 12:00–01:00,Madison restaurant takes inspiration from the lively and eclectic New York dining scene,https://images.otstatic.com/prod1/47106830/3/medium.jpg,2022-01-26 16:46:12.144873+00,2022-01-26 16:46:12.144873+00,"Based in the heart of the City of London, 2 minutes from St Paul’s and Bank tube stations, and 5 minutes from Moorgate, Slug and Lettuce St Paul’s is a modern, spacious, contemporary, friendly bar over two floors.  We open at 8am for breakfast and have area’s ideal for Business Meetings. Lunch we can cater for bookings of any size, so why not contact our reservations team direct at site on 0207 600 3500, to book an area. Evenings become more up-tempo but we have areas able to accommodate bookings from 2 people up to 600. Our upstairs bar, the Love Lounge can be booked for up to 120 people and is fully self contained.  Private hire functions are available at weekends. Families welcome until 6pm. So whatever your event please get in touch with us.Pit stop for lunch prior to visiting the museum of London. Tasty food, good selection on the children’s menu. Lovely decor and quiet for a weekday      My friend ordered a grilled salmon salad but a waitress took the order wrong and gave him a vegetarian salad instead. That's fine because it might be due to miscommunication in the noisy environment. What annoyed me most was the attitude of the waitress - she was inpatient and keep on blaming my friend for ordering the wrong food (while I don't think it's anyone's fault - it's just miscommunication). Food was not too bad but service can be improved. Probably won't go again as I picked this restaurant but was quite embarrassed at the end as my friend was treated impolitely.         Much nicer than you might expect and a pleasant envionment and attentive service. Could do with a better wine list maybe but apart from that a great experience     expansive menu, great for groups especially if you have a combination of meat lovers and vegans. the food is good, nothing phenomenal, but the drink menu makes up for it.   "
39,The Ivy City Garden,£25 and under,Contemporary British,4.5,4712,Liverpool Street,https://theivycitygarden.com/,020 3146 7744,Mon–Fri 08:00–00:00 Sat 11:00–00:00 Sun 11:00–18:00,Located in the historic Bishopsgate Gardens,https://images.otstatic.com/prod/25086287/1/medium.jpg,2022-01-26 16:46:12.148426+00,2022-01-26 16:46:12.148426+00,"Madison restaurant takes inspiration from the lively and eclectic New York dining scene, with a focus on the grill and the best steaks from around the world. The menu combines playful takes on American classics with a broad range of influences from the diverse communities of New York. Head Chef, Mike Denman highly recommends anything from the Josper grill - his favourite being our 52oz Tomahawk.  Our rooftop terrace overlooks St. Paul's Cathedral as well as the stunning London skyline. Every night at Madison we have a range of live music acts, from famous DJ's to saxophonists.  In line with government advice, we are operating a COVID-19 secure management system* in our restaurant and details of the controls we have in place can be found on our website.Spectacular view but terribly slow service. Better for drinks than food  Too cold outside  Experience was good. Lovely staff.  Great experience, however, the music was a little too loud for a lunch time.  Over priced and limited options on the menu you can have a 2/3 course set menu. However add extra surcharge on some dishes on top of the 35/45 set menu. I had a small regular rumsteak surchargewas £9. Dessert was cookie dough as one of the options. £18 Cocktails, shot of Tequila £14. Service charge £31.50. Overall we spent £50 on additional charges. I would advise going of you have deep pockets "
40,Blacklock City,£25 and under,Steak,4.8,1897,Bank,http://theblacklock.com/,020 7998 7676,Mon–Thu 12:00–15:00 Mon–Thu 17:00–22:00 Fri, Sat 12:00–22:30 Sun 12:00–17:00,https://images.otstatic.com/prod/24952055/1/medium.jpg,2022-01-26 16:46:12.152118+00,2022-01-26 16:46:12.152118+00,"Located in the historic Bishopsgate Gardens, The Ivy City Garden brings the familiar luxury of The Ivy, West Street to the City of London.Always good here, food is consistently good and the atmosphere is fun.     Great service and food was excellent.      The food was excellent as was the interior. However the service was very slow. Had to wait over 30 mins for drinks and when I asked, the waitress was quite blunt and said that they were busy. The restaurant was not at full capacity and there were plenty of visible staff, so I couldn’t understand the delay. The head waiter was happier to apologise for the delay. It also took 2 hours for the drinks and starters, and for a table of 6, where we had anticipated 3 hours for 3 courses, it meant we had to rush mains and desserts. The food itself was great, although we were given 2 more expensive steaks than ordered which felt cheeky given we didn’t want to delay the food any further. As we were celebrating an occasion the table was perfect and they even provided a complimentary celebration dessert which was cute.  Overall the food was delicious, the service let them down.         First time to the Ivy city garden the staff go above and beyond to ensure you have an enjoyable experience. The food is simply amazing and so delicious. I’ve never had a bad meal at the Ivy restaurants.  We’re be back again that’s for sure.                         Lovely food, lovely atmosphere and our waiter Nyto made our visit even more enjoyable ⭐️⭐️⭐️⭐️⭐️         "
41,The Ivy Asia - St. Paul's,£26 to £40,Contemporary Asian,4.6,1598,St Paul's,https://www.theivyasia.com/,020 3971 2600 ,Mon–Sat 11:30–22:45 Sun 11:30–21:30,Located in the heart of the city with stunning views of the world-famous St Paul’s Cathedral,https://images.otstatic.com/prod/28024543/3/medium.jpg,2022-01-26 16:46:12.155822+00,2022-01-26 16:46:12.155822+00,"Blacklock is a modern version of the Great British chophouse. Set in an old electricity substation on the site of London""s oldest meat market. We take the best meat in the country from the award-winning farmer and butcher Philip Warren in Cornwall. We cook chops simply over our real charcoal grill with a little help from vintage Blacklock irons and serve it all up alongside cocktails for a fiver and wine on tap in our atmospheric subterranean chop mecca.  Bookings:  Monday - Friday Bookings and Walk-ins for lunch from 12pm - 3pm Bookings and Walk-ins for dinner from 5pm - 10pm  Saturday Bookings and Walk-ins all day from from 12 - 10.30pm  Sunday Bookings from 12pm - 5pm Some Walk-ins availableExcellent venue, with cosy nooks and lovely touches like the old fashioned cutlery and plates. We were there for the food and didnt let us down with an excellent roast      Food outstanding as always, service a bit slow but they compensated it, to great as usual overall.      Lovely dinner, food was delicious and reasonable prices. Good service and nice lively feel to restaurant.      Food was very average, the meat platter was over cooked and it seemed they through the cheap cuts and burnt bits on the plate.     Lovely buzzy place for a late lunch. We weren’t rushed out on a Saturday afternoon and staff made sure we enjoyed our delicious cocktails and wine. "
42,Yauatcha City,£25 and under,Chinese,4.3,2351,Liverpool Street,http://www.yauatcha.com/,020 3817 9888,Tue, Wed 11:30–22:00 Thu,https://images.otstatic.com/prod/23889651/1/medium.jpg,2022-01-26 16:46:12.159335+00,2022-01-26 16:46:12.159335+00,"Located in the heart of the city with stunning views of the world-famous St Paul’s Cathedral, The Ivy Asia St Paul’s is open seven days a week for lunch and dinner.  Our menu takes you on a journey through Asia where you can enjoy sushi & sashimi, small dishes such as prawn tempura or vegetable gyoza, and large dishes including the likes of slow-cooked pork belly and avocado crispy tofu. All our meals are the perfect match for our theatrical drinks and cocktails.  On the weekend, our vibrant destination comes alive with entertainment, music, and DJs, encouraging you to stay and play late into the night.Very good Will be seeing me again     WOW! Worth every penny!     Great just love it amazing food. Great atmosphere cant wait to go back.       Another great trip to Ivy Asia really great food and atmosphere our waiter was excellent     Just brilliant and one of the most beautiful restaurants I’ve been to!  "
43,St. John,£41 and over,British,4.8,2986,Farringdon,http://www.stjohnrestaurant.com/,020 7251 0848,Lunch Mon–Sat 12:00–15:00 Sun 12:00–16:00 Dinner Mon–Sat 18:00–22:30,Fergus Henderson’s original home of “Nose to Tail Eating” opened in a former smokehouse around the corner from Smithfield Market in 1994.  Celebrating the finest of indigenous British produce and making the most of what is seasonally best whilst applying straight forward cooking techniques,https://images.otstatic.com/prod1/41871637/1/medium.jpg,2022-01-26 16:46:12.163062+00,2022-01-26 16:46:12.163062+00,"Yauatcha City opened in May 2015 in Broadgate Circle, just outside Liverpool Street Station. This is Yauatcha’s second UK location following the success of its award winning restaurant in Soho.   Yauatcha City is an all-day dim sum teahouse, where friends and family gather to catch up over a wide selection of dim sum, wok dishes, tea and cocktails. To complement the cuisine, the drinks menu comprises nearly 40 types of tea, as well as cocktails inspired by Chinese ingredients and a broad wine and Champagne list.   Yauatcha’s first standalone patisserie, Yauatcha Patisserie, is located just below the restaurant, where Chinese heritage and modern European cooking techniques have inspired the pastry team to create a range of unique macarons, petits gateaux and chocolates.Service was terrible, struggled to get waiters attention - they walked around like they were avoiding eye contact. Had to ask for things more than once (like a straw for my drink) food was good but the service left us wanting to leave as quickly as possible. Which couldn’t happen as it took them ages to bring the bill after leaving us sat with no drinks for a while. Very poor experience this time, disappointed.          This is the 5 th time that my husband and I have eaten there and Saturday was extra special as it was my birthday.  They didn’t let us down. The food was excellent, as was the service and overall ambience. I just would have liked there to be crispy roast duck on the fixed menu instead of the sea bass, as I prefer it to fish. However they made my birthday special.                                We had great time there. Service was amazing. Staff paid us attention, always smiling and polite, they were checking on us very often. You really looked after which is rare nowadays. Food was so yummy too, nicely presented as well.amazing experience and would be happy to go back there.               Great food and would have been 5* But we had to send rice back as it was cold.   We went for a late lunch and although the restaurant was quiet at 3pm there was a ‘party’ table next to us who were very loud. Overall great food and as a repeat visitor would certainly go again.                We were at Yauatcha for a birthday dinner, and goodness, did they exceed my expectations! The set menus seem to be expertly and delicately crafted and every item on the menu was simply beautiful and delicious. Sake flights are definitely worth trying as each offers a different experience. Overall, a great dining experience that made a special night even better. Thanks for hosting us and looking forward to visiting again soon. "
44,Bar Douro City,£26 to £40,Portuguese,4.7,221,Liverpool Street,https://www.bardouro.co.uk/city,020 7378 0524 x2,Tue–Sat 12:00–22:00,Situated in Finsbury Avenue Square,https://images.otstatic.com/prod1/42055063/3/medium.jpg,2022-01-26 16:46:12.166575+00,2022-01-26 16:46:12.166575+00,"Fergus Henderson’s original home of “Nose to Tail Eating” opened in a former smokehouse around the corner from Smithfield Market in 1994.  Celebrating the finest of indigenous British produce and making the most of what is seasonally best whilst applying straight forward cooking techniques, St. John is now celebrated as one of the 50 Best Restaurants in the World and in 2009 was awarded its first Michelin Star.  Nose to tail eating means that, where appropriate, every part of the animal should be put to good use in the kitchen and so along with Roast Beef and Lemon Sole, diners will find Rolled Pig’s Spleen, Kidneys and Ox Heart, Liver and Chitterlings as well as the Roast Bone Marrow & Parsley Salad, something of a ‘signature’ dish.Half of the menu was out of stock despite it being lunchtime and not some weird time of day. When i ordered a dish that was described as a mix of cheese, potato and spring onion i was brought a plate that literally just had a block of microwaved cheese, 3 whole boiled potatoes to its side, and a bunch of green onions. If i wanted this kind of ""dish"" i would have just went to a supermarket. My mother's ""salad"" had more bread than actual salad, and my dad's ""potted pork"" looked more like a blob of yesterday's tuna from the fridge.                  Bones on toast half the side it used to be. We’ve been eating with you for over the last 12 years and getting smaller each time but this was a huge difference. Fully understand cos of ingredients at present, happy to pay more or just be informed before we order.         Incredible food, amazing staff. Took our 6 month old noisy baby who had the time of her life thanks to the kind staff.Drinks were brilliant too.           We went for my husband's birthday as it's hands-down our favourite restaurant in London.            Amazing food, British quinine at its best. Delicious and high quality in a lovely simple setting "
85,New Street Grill,£26 to £40,Steak,4.5,553,Liverpool Street,http://www.newstreetgrill.co.uk/,020 3503 0785,Mon–Fri 12:00–22:30 Sat 11:30–22:30 Sun 12:00–18:00,New Street Grill is a modern take on the classic British steak house,https://images.otstatic.com/prod1/29137812/3/medium.jpg,2022-01-26 16:46:12.296337+00,2022-01-26 16:46:12.296337+00,"Situated in Finsbury Avenue Square, Bar Douro brings authentic Portuguese food and wine to the heart of the City. Our elegant and comfortable dining space is adorned with blue and white azulejo tiles, a perfect setting for business meetings, intimate dinners and after work drinks. Sit at the counter and marvel at the chef's creations from the open kitchen, or relax al fresco on our covered, heated terrace; a Portuguese oasis in the City.  Sharing the spirit of Portugal with the UK through honest food, characterful wines and the celebration of cultural stories.This Saturday my friends and I went to the Bar Douro City. Everything from our food to the service was excellent! A rich palette of taste in combination with an authentic interior design have fully immersed us into an atmosphere of a small Portuguese village. Furthermore, it was very nice from our waiter’s side to offer us a small wine tasting before ordering, as we could not make a decision. Overall- great! Will definitely come back and tell our friends about the restaurant.         Super nice vibe, great staff, MOUTH WATERING food! Good for informal catch ups as well as business meals. Have been there a few times now with different colleagues, and everyone loved it!         Fantastic food, friendly service at impeccable prices. Won’t hesitate to revisit again, for the 3rd time!      Always enjoy Bar Douro both City and London Bridge.     Food is delicious, and staff is lovely. We had a great time. "
45,Gaucho Broadgate,£41 and over,Steak,4.5,2217,Liverpool Street,http://www.gauchorestaurants.co.uk/,020 7256 6877,Mon–Fri 12:00–22:00 Sat 19:00–22:00,Gaucho Set Lunch Menu: 12–3PM | Two Courses - £24.50 | Three Courses - £27.50 | Monday- Friday  We are situated where two of London’s most dynamic neighbourhoods meet; the financial hub of the Square Mile and the trendsetting East End. Our menu is focused around impeccable Argentinian steaks, https://images.otstatic.com/prod/26084036/1/medium.jpg,2022-01-26 16:46:12.170474+00,2022-01-26 16:46:12.170474+00,"Gaucho Set Lunch Menu: 12–3PM | Two Courses - £24.50 | Three Courses - £27.50 | Monday- Friday  We are situated where two of London’s most dynamic neighbourhoods meet; the financial hub of the Square Mile and the trendsetting East End. Our menu is focused around impeccable Argentinian steaks, flavours of Latin America and a perfectly curated wine list.  You’ll be welcomed by our spectacular glass bar and heated terrace, the perfect spot for after work drinks, before winding down our spiral staircase to our sky-lit lower ground floor dining room. Here you’ll be able to experience the theatre of our open-kitchen and grill in warm and uncomplicated interiors inspired by the textures of Argentina’s forests.  Host in one of our impressive private dining rooms or relax in our secret courtyard with a cocktail in hand peering up at the London sky and City lights above. Award-winning steaks, Latin plates and great drinks with impeccable service, what better way to dine?service was slow . cocktails were mediocre . very quiet for a thursday dinner                                  I was very happy with the experience. Definitely recommend it. However when ordering the steak rare, it was medium.                Great steak! Friendly and efficient staff.       The setting is opulent and service good but if a premium steak house can’t cook a rare sirloin steak correctly first time then it’s not worth a visit.       Wonderful! We had our 6 month old son with us and they catered to him so well. Celebrated my birthday and everything was amazing! Great suggestions to my husband for drinks and food. Will certainly return as a family again and as a date night with the hubby. "
