id,name,price,type,rating,rating_number,location,website,contact_number,opening_hours,about,image_source,created_at,updated_at
14,Goodman City,£41 and over,Steak,4.8,1286,Bank,http://www.goodmanrestaurants.com/,020 7600 8220,Lunch Tue–Fri 12:00–16:00 Dinner Tue–Fri 16:00–22:00,Goodman specialises in steak. Our chefs source the best beef from both sides of the Atlantic – from USDA corn-fed herds to grass-fed Scottish beef,https://images.otstatic.com/prod/23686009/1/medium.jpg,2022-01-26 16:46:12.042013+00,2022-01-26 16:46:12.042013+00
15,Hispania Restaurant,£41 and over,Spanish,4.8,76,Bank,http://www.hispanialondon.com/,020 7621 0338,Mon–Fri 12:00–22:00,Hispania’s premises,https://images.otstatic.com/prod1/32114203/1/medium.jpg,2022-01-26 16:46:12.04408+00,2022-01-26 16:46:12.04408+00
16,temper City,£26 to £40,Steakhouse,4.3,620,Bank,http://www.temperrestaurant.com/,020 3004 6984 ,Mon 17:00–22:00 Tue–Fri 12:00–22:00 ,Whole animal barbecue taqueria and steak house. temper City is similar to the flagship in Soho but bigger,https://images.otstatic.com/prod/26526644/1/medium.jpg,2022-01-26 16:46:12.046335+00,2022-01-26 16:46:12.046335+00
17,Bread Street Kitchen & Bar — St Paul's,£26 to £40,Modern European,4.2,4164,St Paul's,https://www.gordonramsayrestaurants.com/bread-street-kitchen/st-pauls/,020 3030 4050,Mon–Wed 07:30–00:00 Thu, Fri 07:30–01:00 Sat 11:30–01:00 Sun 10:30–21:00,https://images.otstatic.com/prod/26336524/3/medium.jpg,2022-01-26 16:46:12.054032+00,2022-01-26 16:46:12.054032+00
18,1 Lombard Street Brasserie,£41 and over,British,4.3,3766,Bank,http://www.1lombardstreet.com/,020 7929 6611,Breakfast Mon–Fri 07:30–09:45 Lunch Mon–Fri 11:30–16:30 Dinner Mon–Fri 16:30–21:30 Sat 16:00–21:30,1 Lombard Street is one of the longest standing restaurants in The City of London,https://images.otstatic.com/prod1/42304143/3/medium.jpg,2022-01-26 16:46:12.060202+00,2022-01-26 16:46:12.060202+00
19,Coq d’Argent Restaurant,£41 and over,French,4.5,5702,Bank,http://www.coqdargent.co.uk/,020 7395 5000,Lunch Mon–Fri 12:00–15:00 Brunch Sat 12:00–15:30 Bar Mon–Sat 12:00–00:00 Dinner Mon–Sat 17:30–22:00,High above the City you'll find a classic French restaurant,https://images.otstatic.com/prod/24611265/1/medium.jpg,2022-01-26 16:46:12.06645+00,2022-01-26 16:46:12.06645+00
20,MBER,£41 and over,Asian,4.6,1214,Bank,http://www.mber.london/,020 7608 6545,Lunch Tue–Fri 12:00–14:45 Dinner Tue–Sat 16:00–22:45,An infusion of the Orient with Pan-Asian Tapas,https://images.otstatic.com/prod/26463610/4/medium.jpg,2022-01-26 16:46:12.071757+00,2022-01-26 16:46:12.071757+00
21,Cecconi’s at The Ned,£41 and over,Italian,4.8,3,Bank,https://www.thened.com/restaurants/cecconis,020 3828 2000,Mon–Sat 12:00–22:00 Dinner Sun 18:00–21:00,Cecconi’s at The Ned is a modern-day classic Italian restaurant open for breakfast,https://images.otstatic.com/prod1/46910735/3/medium.jpg,2022-01-26 16:46:12.073071+00,2022-01-26 16:46:12.073071+00
22,Scarpetta Bishopsgate,£25 and under,Italian,4.6,63,Liverpool Street,https://scarpettapasta.com/,020 3833 4033,Mon, Tue 17:00–21:00 Wed,https://images.otstatic.com/prod1/42447676/1/medium.jpg,2022-01-26 16:46:12.07661+00,2022-01-26 16:46:12.07661+00
23,Taberna Etrusca,£26 to £40,Italian,4.5,824,Bank,http://www.tabernaetrusca.co.uk/,020 7248 5552,Lunch Mon–Fri 12:00–15:30 Dinner Tue–Sat 18:00–22:00,Established in 1967,https://images.otstatic.com/prod/23684291/1/medium.jpg,2022-01-26 16:46:12.080217+00,2022-01-26 16:46:12.080217+00
24,Mint Leaf Lounge,£26 to £40,Indian,4.3,418,Bank,http://www.mintleaflondon.com/,020 7600 0992,Lunch Mon–Fri 12:00–14:45 Bar Mon–Fri 12:00–23:00 Sat 17:30–23:00 Happy Hour Mon–Fri 15:00–18:00 Dinner Mon–Sat 17:30–23:00,The perfect play ground for elegant and sophisticated social gathering: the fine cuisine and drinks: all served to you with finesse. Come and experience attentive and courteous service!,https://images.otstatic.com/prod1/46893286/2/medium.jpg,2022-01-26 16:46:12.083912+00,2022-01-26 16:46:12.083912+00
25,Gordon Ramsay Street Pizza — St Paul's,£25 and under,Pizzeria,4.4,145,St Paul's,https://www.gordonramsayrestaurants.com/street-pizza/bread-street-kitchen/,020 7499 0120,Mon–Thu 11:30–00:00 Fri, Sat 11:30–01:00 Sun 11:30–21:00,https://images.otstatic.com/prod/25829330/1/medium.jpg,2022-01-26 16:46:12.090394+00,2022-01-26 16:46:12.090394+00
26,Bread Street Kitchen & Bar — The City,£26 to £40,Contemporary British,4.2,26,Liverpool Street,https://www.gordonramsayrestaurants.com/bread-street-kitchen/the-city-south-place,020 7499 0125 ,Mon–Wed 11:30–00:00 Thu–Sat 11:30–01:00,Bread Street Kitchen - The City is opening in South Place in the City of London!  We can't wait to welcome you to our new restaurant and bar from 30 August – join us for breakfast,https://images.otstatic.com/prod1/43672248/2/medium.jpg,2022-01-26 16:46:12.096778+00,2022-01-26 16:46:12.096778+00
27,Brasserie Blanc - Threadneedle Street,£26 to £40,French,4.4,49,Bank,http://brasserieblanc.com/restaurants/threadneedle-street/,020 7710 9440,Mon–Fri 07:30–21:30 ,Home-cooked,https://images.otstatic.com/prod/24601541/1/medium.jpg,2022-01-26 16:46:12.103165+00,2022-01-26 16:46:12.103165+00
28,Bangalore Express City,£25 and under,Indian,4.3,590,Fenchurch Street,http://www.bangaloreuk.com/,020 7220 9195,Mon–Sat 11:00–23:00 Sun 12:00–22:00,Tucked away in the heart of the city,https://images.otstatic.com/prod/25872253/1/medium.jpg,2022-01-26 16:46:12.10934+00,2022-01-26 16:46:12.10934+00
29,Golden Fleece,£25 and under,British,4.6,44,Bank,http://www.goldenfleececity.com/,020 7236 1433,Mon–Wed 12:00–22:00 Thu, Fri 12:00–23:00,https://images.otstatic.com/prod/26169979/2/medium.jpg,2022-01-26 16:46:12.112272+00,2022-01-26 16:46:12.112272+00
30,Gaucho Smithfield,£41 and over,Steak,4.5,1201,Barbican,http://www.gauchorestaurants.co.uk/,020 7490 1676,Mon–Fri, Sun 12:00–22:00 Sat 18:00–22:00,https://images.otstatic.com/prod/26085722/1/medium.jpg,2022-01-26 16:46:12.115845+00,2022-01-26 16:46:12.115845+00
31,Cinnamon Kitchen,£26 to £40,Indian,4.2,2636,Liverpool Street,http://www.cinnamon-kitchen.com/,020 7626 5000,Tue–Sat 12:00–23:00 Sun 12:00–22:00,Located in the striking Devonshire Square development,https://images.otstatic.com/prod1/47090119/3/medium.jpg,2022-01-26 16:46:12.119425+00,2022-01-26 16:46:12.119425+00
32,Lasagneria Italiana,£25 and under,Italian,4.4,12,Bank,http://misterlasagna.co.uk/,020 7929 1212,Mon–Sat 09:00–00:00,Lasagneria Italiana serves authentic Italian ‘fast food’ and is open for breakfast,https://images.otstatic.com/prod1/41871364/2/medium.jpg,2022-01-26 16:46:12.123146+00,2022-01-26 16:46:12.123146+00
33,ALTER,£26 to £40,Vegan,4.8,194,Aldgate,https://www.alterldn.com/,07912 194965,Lunch Thu, Fri 12:00–14:00 Dinner Tue–Sat 17:00–22:00,https://images.otstatic.com/prod1/32356629/2/medium.jpg,2022-01-26 16:46:12.126791+00,2022-01-26 16:46:12.126791+00
34,Gordon Ramsay Street Burger — St Paul’s,£25 and under,Burgers,4,35,Bank,https://www.gordonramsayrestaurants.com/street-burger/st-pauls/,020 7592 1217,Tue, Wed 11:30–22:00 Thu–Sat 11:30–23:00,https://images.otstatic.com/prod1/32453539/3/medium.jpg,2022-01-26 16:46:12.130323+00,2022-01-26 16:46:12.130323+00
35,Jamies Adam's Court,£25 and under,British,3.5,3,Liverpool Street,https://www.jamies-adamscourt.co.uk/,020 7628 0808 ,Mon–Fri 11:00–23:00 ,Adams Court is nestled in a bustling courtyard just yards from Bank Station. Take in the city scapes from our gorgeous terrace and enjoy a tipple or two at the bar.,https://images.otstatic.com/prod1/31040541/1/medium.jpg,2022-01-26 16:46:12.134083+00,2022-01-26 16:46:12.134083+00
36,Number 25,£25 and under,Wine Bar,4,1,Bank,https://www.jamies.london/bars/number-25/,020 7623 2505 ,Mon–Fri 11:00–15:00 Mon–Fri 17:00–23:00,A City staple for after work drinks and British style dining,https://images.otstatic.com/prod1/43671381/3/medium.jpg,2022-01-26 16:46:12.137525+00,2022-01-26 16:46:12.137525+00
37,Slug & Lettuce - St Pauls,£25 and under,British,4,4,St Paul's,http://www.slugandlettuce.co.uk/st-pauls-london,020 7600 3500 ,Mon–Thu 10:00–23:00 Fri, Sat 10:00–00:00 Sun 12:00–23:00 Lunch Mon–Sat 10:00–16:45 Dinner Mon–Sat 17:00–21:00,https://images.otstatic.com/prod1/46814816/3/medium.jpg,2022-01-26 16:46:12.141226+00,2022-01-26 16:46:12.141226+00
38,Madison,£26 to £40,Modern European,4,871,St Paul's,http://www.madisonlondon.net/,020 3693 5160 ,Daily 12:00–01:00,Madison restaurant takes inspiration from the lively and eclectic New York dining scene,https://images.otstatic.com/prod1/47106830/3/medium.jpg,2022-01-26 16:46:12.144873+00,2022-01-26 16:46:12.144873+00
39,The Ivy City Garden,£25 and under,Contemporary British,4.5,4712,Liverpool Street,https://theivycitygarden.com/,020 3146 7744,Mon–Fri 08:00–00:00 Sat 11:00–00:00 Sun 11:00–18:00,Located in the historic Bishopsgate Gardens,https://images.otstatic.com/prod/25086287/1/medium.jpg,2022-01-26 16:46:12.148426+00,2022-01-26 16:46:12.148426+00
40,Blacklock City,£25 and under,Steak,4.8,1897,Bank,http://theblacklock.com/,020 7998 7676,Mon–Thu 12:00–15:00 Mon–Thu 17:00–22:00 Fri, Sat 12:00–22:30 Sun 12:00–17:00,https://images.otstatic.com/prod/24952055/1/medium.jpg,2022-01-26 16:46:12.152118+00,2022-01-26 16:46:12.152118+00
41,The Ivy Asia - St. Paul's,£26 to £40,Contemporary Asian,4.6,1598,St Paul's,https://www.theivyasia.com/,020 3971 2600 ,Mon–Sat 11:30–22:45 Sun 11:30–21:30,Located in the heart of the city with stunning views of the world-famous St Paul’s Cathedral,https://images.otstatic.com/prod/28024543/3/medium.jpg,2022-01-26 16:46:12.155822+00,2022-01-26 16:46:12.155822+00
42,Yauatcha City,£25 and under,Chinese,4.3,2351,Liverpool Street,http://www.yauatcha.com/,020 3817 9888,Tue, Wed 11:30–22:00 Thu,https://images.otstatic.com/prod/23889651/1/medium.jpg,2022-01-26 16:46:12.159335+00,2022-01-26 16:46:12.159335+00
43,St. John,£41 and over,British,4.8,2986,Farringdon,http://www.stjohnrestaurant.com/,020 7251 0848,Lunch Mon–Sat 12:00–15:00 Sun 12:00–16:00 Dinner Mon–Sat 18:00–22:30,Fergus Henderson’s original home of “Nose to Tail Eating” opened in a former smokehouse around the corner from Smithfield Market in 1994.  Celebrating the finest of indigenous British produce and making the most of what is seasonally best whilst applying straight forward cooking techniques,https://images.otstatic.com/prod1/41871637/1/medium.jpg,2022-01-26 16:46:12.163062+00,2022-01-26 16:46:12.163062+00
44,Bar Douro City,£26 to £40,Portuguese,4.7,221,Liverpool Street,https://www.bardouro.co.uk/city,020 7378 0524 x2,Tue–Sat 12:00–22:00,Situated in Finsbury Avenue Square,https://images.otstatic.com/prod1/42055063/3/medium.jpg,2022-01-26 16:46:12.166575+00,2022-01-26 16:46:12.166575+00
85,New Street Grill,£26 to £40,Steak,4.5,553,Liverpool Street,http://www.newstreetgrill.co.uk/,020 3503 0785,Mon–Fri 12:00–22:30 Sat 11:30–22:30 Sun 12:00–18:00,New Street Grill is a modern take on the classic British steak house,https://images.otstatic.com/prod1/29137812/3/medium.jpg,2022-01-26 16:46:12.296337+00,2022-01-26 16:46:12.296337+00
45,Gaucho Broadgate,£41 and over,Steak,4.5,2217,Liverpool Street,http://www.gauchorestaurants.co.uk/,020 7256 6877,Mon–Fri 12:00–22:00 Sat 19:00–22:00,Gaucho Set Lunch Menu: 12–3PM | Two Courses - £24.50 | Three Courses - £27.50 | Monday- Friday  We are situated where two of London’s most dynamic neighbourhoods meet; the financial hub of the Square Mile and the trendsetting East End. Our menu is focused around impeccable Argentinian steaks, https://images.otstatic.com/prod/26084036/1/medium.jpg,2022-01-26 16:46:12.170474+00,2022-01-26 16:46:12.170474+00
46,Mercer Roof Terrace,£26 to £40,British,4.4,476,Bank,https://www.vintryandmercer.com/dining-in-the-city/mercer-roof-terrace/,020 3908 8088,Bar Mon–Sat 12:00–23:00 Lunch Mon–Fri 12:00–16:30 Sat, Sun 12:00–17:00 Dinner Mon–Sat 17:30–21:45,https://images.otstatic.com/prod/26141094/2/medium.jpg,2022-01-26 16:46:12.173853+00,2022-01-26 16:46:12.173853+00
47,Apulia,£26 to £40,Mediterranean,4.4,703,Barbican,http://www.apuliarestaurant.co.uk/,020 7600 8107,Mon–Fri 12:00–23:30 Lunch Mon–Fri 12:00–16:00 Dinner Mon–Fri 17:30–23:30,Apulia welcomes You in for a taste and experience of southern Italy ! We aim to give you an unforgettable feeling when you taste our food,https://images.otstatic.com/prod/25610927/1/medium.jpg,2022-01-26 16:46:12.177456+00,2022-01-26 16:46:12.177456+00
48,Café Luca,£26 to £40,Mediterranean,4.5,83,Liverpool Street,http://www.cafe-luca.co.uk/,020 8075 8721 ,Lunch Tue–Sat 12:00–15:00 Dinner Tue–Sat 17:00–22:00,Charming and informal relaxed atmosphere serving Mediterranean influenced dishes. Large part of the menu is cooked over a Charcoal fire,https://images.otstatic.com/prod1/41945752/5/medium.jpg,2022-01-26 16:46:12.181081+00,2022-01-26 16:46:12.181081+00
49,14 Hills,£25 and under,British,4.4,259,Fenchurch Street,http://14hills.co.uk/,020 3981 5222 ,Mon–Sat 12:00–22:30 Sun 12:00–21:30 Bar Daily 12:00–00:00,Situated on the 14th floor of 120 Fenchurch Street and beautifully nicknamed 'the forest in the sky',https://images.otstatic.com/prod/27799043/3/medium.jpg,2022-01-26 16:46:12.18474+00,2022-01-26 16:46:12.18474+00
50,The Quality Chop House,£41 and over,British,4.8,1576,Farringdon,http://thequalitychophouse.com/,020 7278 1452,Tue–Sat 12:00–14:30 Tue–Sat 18:00–22:00 Sun 12:00–15:15,The Quality Chop House is a Restaurant,https://images.otstatic.com/prod1/31325149/3/medium.jpg,2022-01-26 16:46:12.188346+00,2022-01-26 16:46:12.188346+00
51,Kintan,£25 and under,Japanese,4.6,1111,Chancery Lane,http://kintan.uk/,020 7242 8076,Mon–Sat 11:30–22:00 Sun 11:30–21:00,Maximum online booking is 6 people. Please do not make multiple bookings  Until further notice,https://images.otstatic.com/prod/24053514/1/medium.jpg,2022-01-26 16:46:12.19205+00,2022-01-26 16:46:12.19205+00
52,Giorgio at Leadenhall,£41 and over,Italian,4.7,382,Bank,http://www.giorgioatleadenhall.co.uk/,020 7621 0709 ,Monday - Friday: 11:30am - 4pm; 6pm - 10pm,It’s the shape that strikes you first,https://images.otstatic.com/prod/23695039/1/medium.jpg,2022-01-26 16:46:12.195657+00,2022-01-26 16:46:12.195657+00
53,Straits Kitchen,£41 and over,Asian,4.4,46,Liverpool Street,https://www.panpacific.com/en/hotels-and-resorts/pp-london/dining/straits-kitchen.html,020 7118 6888 ,Breakfast Mon–Fri 06:30–10:30 Sat, Sun 07:00–11:00 Lunch Daily 12:00–14:30 Dinner Mon–Sat 17:30–22:00 Sun 17:30–21:30,https://images.otstatic.com/prod1/47081605/2/medium.jpg,2022-01-26 16:46:12.199261+00,2022-01-26 16:46:12.199261+00
54,Hithe + Seek NEW,£26 to £40,Tapas / Small Plates,4.8,7,Bank,http://www.hitheandseek.com/ ,020 3988 0141 ,Wed–Sat 15:00–23:00,Boasting a unique vantage overlooking the River Thames,https://images.otstatic.com/prod1/46729608/7/medium.jpg,2022-01-26 16:46:12.202876+00,2022-01-26 16:46:12.202876+00
55,Emilia's Crafted Pasta - Aldgate,£25 and under,Italian,4.4,682,Aldgate,http://www.emiliaspasta.com/,020 7702 9944,Mon–Wed 17:00–21:30 Thu–Sun 12:30–21:30,Emilia’s Aldgate is a fresh pasta restaurant located in the City within a few minutes’ walk of Aldgate/Aldgate East tube stations. It's our second restaurant following on from our first critically acclaimed and award-winning restaurant.  At Emilia’s all our pasta is made fresh every morning in our restaurant in full view of passers-by and served from our fully open kitchen. In true respect of Italian tradition,https://images.otstatic.com/prod/26357916/6/medium.jpg,2022-01-26 16:46:12.206467+00,2022-01-26 16:46:12.206467+00
56,Bleeding Heart Bistro,£26 to £40,French,4.5,968,Farringdon,http://bleedingheart.co.uk/french-restaurants/bistro/,020 7242 2056,Lunch Mon–Fri 12:00–15:00 Dinner Mon–Sat 17:30–21:00,The busy buzzy Bistro,https://images.otstatic.com/prod1/41978323/1/medium.jpg,2022-01-26 16:46:12.210265+00,2022-01-26 16:46:12.210265+00
57,Luc's Brasserie,£26 to £40,French,4.3,736,Fenchurch Street,http://www.lucsbrasserie.com/,020 7621 0666,Lunch Mon–Fri 12:00–15:00,Luc's is a French Brasserie situated in historic Leadenhall Market in the City of London. The menu comprises of French regional dishes,https://images.otstatic.com/prod/24689483/1/medium.jpg,2022-01-26 16:46:12.216727+00,2022-01-26 16:46:12.216727+00
58,Kirin Chinese Restaurant London,£25 and under,Chinese (Canton),4.3,269,Bank,http://kirins.co.uk/,020 7248 0253,Monday - Saturday: 11:30am - 11:00pm,Kirin Restaurant Located on College Hill near Cannon St and Bank,https://images.otstatic.com/prod/25101957/1/medium.jpg,2022-01-26 16:46:12.223031+00,2022-01-26 16:46:12.223031+00
59,Baracca,£25 and under,Italian,4.6,127,Barbican,http://www.baraccarestaurant.co.uk/,020 7588 0710 ,Monday - Friday: 17:30 - 22:30 ,Situated just a 3 minute walk from the Barbican Centre,https://images.otstatic.com/prod/24781149/1/medium.jpg,2022-01-26 16:46:12.229142+00,2022-01-26 16:46:12.229142+00
60,Gaucho Chancery,£41 and over,Steak,4.1,1717,Chancery Lane,http://www.gauchorestaurants.co.uk/,020 7242 7727,Mon–Fri 11:30–23:00 Sat 19:00–00:00,Gaucho Set Lunch Menu: 12–3PM | Two Courses - £24.50 | Three Courses - £27.50 | Monday- Friday Gaucho Pre/Post Theatre Menu 5-6:30 PM and 9:30-10:45 PM | Two Courses - £23.00 | Three Courses - £26.00 | Monday- Friday  Our Chancery Lane restaurant and bar sits where the prestigious legal district and meets the buzz of the West End.  Through its stunning arched windowed exterior,https://images.otstatic.com/prod/26085556/1/medium.jpg,2022-01-26 16:46:12.235708+00,2022-01-26 16:46:12.235708+00
61,Angler - London,£41 and over,Seafood,4.9,1026,Liverpool Street,http://www.anglerrestaurant.com/,020 3215 1260,Lunch Wed–Sat 12:00–14:15 Terrace opening times Wed–Sat 12:00–21:30 Dinner Wed–Sat 18:00–21:15,Perched at the top of South Place Hotel,https://images.otstatic.com/prod/27727638/4/medium.jpg,2022-01-26 16:46:12.238251+00,2022-01-26 16:46:12.238251+00
62,La Tagliata City,£26 to £40,Italian,4.6,431,Liverpool Street,http://www.la-tagliata.com/,020 7018 4300 ,Lunch Mon–Fri 12:00–14:15 Dinner Mon–Fri 18:00–22:00 Sat 18:30–22:15,Born out of a passion for Italian food and life,https://images.otstatic.com/prod/25874312/1/medium.jpg,2022-01-26 16:46:12.240177+00,2022-01-26 16:46:12.240177+00
63,Scarpetta Cannon Street NEW,£25 and under,Italian,3.9,3,Bank,http://www.scarpettapasta.com/,020 3883 4031,Mon–Fri 09:30–22:00,The word Scarpetta represents a moment of joy – it’s how we Italians define the gesture of taking a piece of bread to mop up the last delicious morsel of sauce on your plate – it signifies how we enjoy every moment in life. At Scarpetta our handmade pasta will entice you to do just this!,https://images.otstatic.com/prod/26600489/3/medium.jpg,2022-01-26 16:46:12.242252+00,2022-01-26 16:46:12.242252+00
64,The Folly,£25 and under,British,4.2,622,Bank,http://www.thefollybar.co.uk/,0845 468 0102,Mon–Sat 10:00–23:00 Sun 13:00–20:00,Wander through our garden lounge and flower shop, https://images.otstatic.com/prod1/31143471/2/medium.jpg,2022-01-26 16:46:12.245893+00,2022-01-26 16:46:12.245893+00
65,Ginger Lily,£26 to £40,Bar / Lounge / Bottle Service,4.6,18,Liverpool Street,https://www.panpacific.com/en/hotels-and-resorts/pp-london/dining/ginger-lily.html,020 7118 6888 ,Mon–Sat 16:00–02:00 Sun 16:00–00:00 ,Located inside Pan Pacific london.  Bottling the buzz and excitement of Singaporean bar culture for London,https://images.otstatic.com/prod1/47081269/4/medium.jpg,2022-01-26 16:46:12.249384+00,2022-01-26 16:46:12.249384+00
66,Bolton's,£41 and over,Italian,4.9,216,Bank,http://www.boltonsrestaurant.co.uk/default.asp,020 7929 1981,Lunch Mon–Fri 11:30–15:30 Dinner Mon–Fri 18:00–21:30,London’s Bolton’s Restaurant is a popular City haunt,https://images.otstatic.com/prod/23933208/1/medium.jpg,2022-01-26 16:46:12.253064+00,2022-01-26 16:46:12.253064+00
67,Rake's Cafe Bar,£25 and under,British,4.2,71,Moorgate,http://www.rakescafebar.co.uk/,020 7618 7300 ,Breakfast Mon–Thu 06:30–11:30 Lunch Mon–Thu 12:00–22:00 Brunch Fri–Sun 12:00–16:00 Dinner Fri, Sat 16:00–22:00,https://images.otstatic.com/prod1/32528671/3/medium.jpg,2022-01-26 16:46:12.254835+00,2022-01-26 16:46:12.254835+00
68,Kenza,£26 to £40,Lebanese,4.4,3584,Aldgate,http://www.kenza-restaurant.com/,020 7929 5533,Hours of Operation Lunch Mon–Fri 12:00–17:00 Dinner Mon–Thu 17:00–22:00 Fri, Sat 17:00–23:00,https://images.otstatic.com/prod/23679952/1/medium.jpg,2022-01-26 16:46:12.256977+00,2022-01-26 16:46:12.256977+00
69,Thai Square Mansion House,£26 to £40,Thai,4.2,494,St Paul's,https://thaisq.com/,020 7329 0001,Mon–Fri 12:00–15:00 Mon–Fri 17:30–22:00,Thai Square Mansion House is a hidden gem in the heart of the city. Right outside of the Mansion House tube station and within walking distance from St. Paul Cathedral, https://images.otstatic.com/prod/25955815/1/medium.jpg,2022-01-26 16:46:12.258708+00,2022-01-26 16:46:12.258708+00
70,Iberica Farringdon,£26 to £40,Spanish,4.5,1042,Farringdon,http://www.ibericarestaurants.com/,020 3026 5118,Tue–Sat 12:00–15:00 Tue–Sat 17:00–23:00,Located in the heart of trendy Clerkenwell 2 minutes from Farringdon tube station,https://images.otstatic.com/prod/26520059/3/medium.jpg,2022-01-26 16:46:12.261047+00,2022-01-26 16:46:12.261047+00
